Date,Time,Temp °C,SpCond µS/cm
4/23/19,9:00:00,2.759,37.9
4/23/19,10:00:00,2.901,38.3
4/23/19,11:00:00,3.091,38.7
4/23/19,12:00:00,3.155,39.1
4/23/19,13:00:00,3.537,39.4
4/23/19,14:00:00,3.722,39.8
4/23/19,15:00:00,3.796,40.1
4/23/19,16:00:00,3.865,40.4
4/23/19,17:00:00,3.894,40.6
4/23/19,18:00:00,3.927,40.9
4/23/19,19:00:00,3.851,41.2
4/23/19,20:00:00,3.72,41.5
4/23/19,21:00:00,3.553,41.7
4/23/19,22:00:00,3.369,42
4/23/19,23:00:00,3.179,42.2
4/24/19,0:00:00,3.003,42.4
4/24/19,1:00:00,2.84,42.6
4/24/19,2:00:00,2.687,42.9
4/24/19,3:00:00,2.507,43.1
4/24/19,4:00:00,2.308,43.3
4/24/19,5:00:00,2.204,43.6
4/24/19,6:00:00,1.986,43.8
4/24/19,7:00:00,1.721,43.9
4/24/19,8:00:00,1.802,44.2
4/24/19,9:00:00,1.975,44.5
4/24/19,10:00:00,2.1,44.7
4/24/19,11:00:00,2.415,44.9
4/24/19,12:00:00,2.903,45
4/24/19,13:00:00,3.436,45.2
4/24/19,14:00:00,3.672,45.4
4/24/19,15:00:00,3.936,45.5
4/24/19,16:00:00,4.082,45.6
4/24/19,17:00:00,4.149,45.6
4/24/19,18:00:00,4.16,45.8
4/24/19,19:00:00,4.143,45.8
4/24/19,20:00:00,4.054,45.9
4/24/19,21:00:00,3.895,46.1
4/24/19,22:00:00,3.674,46.2
4/24/19,23:00:00,3.422,46.3
4/25/19,0:00:00,3.172,46.3
4/25/19,1:00:00,2.94,46.4
4/25/19,2:00:00,2.743,46.5
4/25/19,3:00:00,2.571,46.6
4/25/19,4:00:00,2.415,46.8
4/25/19,5:00:00,2.283,46.9
4/25/19,6:00:00,2.179,47.1
4/25/19,7:00:00,2.122,47.2
4/25/19,8:00:00,2.12,47.4
4/25/19,9:00:00,2.228,47.6
4/25/19,10:00:00,2.413,47.7
4/25/19,11:00:00,2.708,47.9
4/25/19,12:00:00,3.143,48
4/25/19,13:00:00,3.492,48.2
4/25/19,14:00:00,3.738,48.3
4/25/19,15:00:00,3.911,48.5
4/25/19,16:00:00,3.972,48.6
4/25/19,17:00:00,4.045,48.7
4/25/19,18:00:00,4.106,48.9
4/25/19,19:00:00,4.083,49
4/25/19,20:00:00,4.011,49.1
4/25/19,21:00:00,3.91,49.2
4/25/19,22:00:00,3.796,49.4
4/25/19,23:00:00,3.667,49.5
4/26/19,0:00:00,3.538,49.5
4/26/19,1:00:00,3.424,49.6
4/26/19,2:00:00,3.314,49.7
4/26/19,3:00:00,3.217,49.7
4/26/19,4:00:00,3.132,49.8
4/26/19,5:00:00,3.056,49.9
4/26/19,6:00:00,2.993,50
4/26/19,7:00:00,2.964,50.1
4/26/19,8:00:00,2.986,50.2
4/26/19,9:00:00,3.06,50.3
4/26/19,10:00:00,3.24,50.4
4/26/19,11:00:00,3.506,50.4
4/26/19,12:00:00,3.835,50.5
4/26/19,13:00:00,4.188,50.6
4/26/19,14:00:00,4.534,50.7
4/26/19,15:00:00,4.786,50.8
4/26/19,16:00:00,4.939,50.9
4/26/19,17:00:00,5.081,51
4/26/19,18:00:00,5.216,51.1
4/26/19,19:00:00,5.249,51.2
4/26/19,20:00:00,5.205,51.4
4/26/19,21:00:00,5.044,51.6
4/26/19,22:00:00,4.799,51.8
4/26/19,23:00:00,4.515,51.8
4/27/19,0:00:00,4.215,51.6
4/27/19,1:00:00,3.933,51.3
4/27/19,2:00:00,3.668,51
4/27/19,3:00:00,3.429,50.5
4/27/19,4:00:00,3.214,50.2
4/27/19,5:00:00,3.018,50.1
4/27/19,6:00:00,2.851,50
4/27/19,7:00:00,2.712,50.1
4/27/19,8:00:00,2.636,50.1
4/27/19,9:00:00,2.712,50.2
4/27/19,10:00:00,2.847,50.2
4/27/19,11:00:00,3.175,50.3
4/27/19,12:00:00,3.654,50.3
4/27/19,13:00:00,4.159,50.4
4/27/19,14:00:00,4.591,50.5
4/27/19,15:00:00,4.892,50.6
4/27/19,16:00:00,5.004,50.8
4/27/19,17:00:00,5.069,50.9
4/27/19,18:00:00,5.116,51
4/27/19,19:00:00,5.097,51.2
4/27/19,20:00:00,5.072,51.3
4/27/19,21:00:00,4.99,51.5
4/27/19,22:00:00,4.817,51.6
4/27/19,23:00:00,4.559,51.6
4/28/19,0:00:00,4.27,51.5
4/28/19,1:00:00,4.002,51.3
4/28/19,2:00:00,3.759,51
4/28/19,3:00:00,3.528,50.5
4/28/19,4:00:00,3.318,50
4/28/19,5:00:00,3.127,49.6
4/28/19,6:00:00,2.958,49.4
4/28/19,7:00:00,2.831,49.2
4/28/19,8:00:00,2.765,49.1
4/28/19,9:00:00,2.858,49.2
4/28/19,10:00:00,2.994,49.2
4/28/19,11:00:00,3.343,49.6
4/28/19,12:00:00,3.833,49.4
4/28/19,13:00:00,4.33,49.5
4/28/19,14:00:00,4.738,49.5
4/28/19,15:00:00,5.018,49.7
4/28/19,16:00:00,5.133,49.9
4/28/19,17:00:00,5.208,49.9
4/28/19,18:00:00,5.256,50.2
4/28/19,19:00:00,5.242,50.3
4/28/19,20:00:00,5.219,50.4
4/28/19,21:00:00,5.139,50.7
4/28/19,22:00:00,4.972,50.7
4/28/19,23:00:00,4.715,50.7
4/29/19,0:00:00,4.426,50.6
4/29/19,1:00:00,4.162,50.3
4/29/19,2:00:00,3.916,49.8
4/29/19,3:00:00,3.685,49
